run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_7ce4cab5,unimodal,120.0,0.1,0.0,1.8,0.0,Hersen,0.18502222222222225,2000,183,88.02969272739519,29.10025575851259,0.0793455572637563,1256,1370,763,587,20,0.628,980330
run_6d90eb69,unimodal,120.0,0.1,0.0,1.8,0.0,Duran,0.18502222222222225,2000,16,58.669924654507234,26.169530985920115,0.1364740376899914,694,269,256,12,1,0.347,980330
run_d7a8862f,unimodal,120.0,0.1,0.0,1.8,0.25,Hersen,0.18502222222222225,2000,194,84.93424187822214,23.40527371964974,0.08092718057169974,1374,1465,877,575,13,0.687,980330
run_5e31bba4,unimodal,120.0,0.1,0.0,1.8,0.25,Duran,0.18502222222222225,2000,18,63.27253055316319,23.864450683107695,0.028697295017999384,642,279,263,15,1,0.321,980330
run_346a4e7e,unimodal,120.0,0.1,0.0,1.8,0.5,Hersen,0.18502222222222225,2000,170,82.46875677160858,28.14335359174807,0.08108938136735629,3785,2912,2306,589,17,1.8925,980330
run_c1633e74,unimodal,120.0,0.1,0.0,1.8,0.5,Duran,0.18502222222222225,2000,16,63.50626386673984,26.906882124655457,0.08433207575152704,1222,533,513,19,1,0.611,980330
run_1f603946,unimodal,120.0,0.1,0.1,1.8,0.0,Hersen,0.18502222222222225,2000,337,50.64574925289063,38.82358528775545,0.4108105784194769,39,2121,750,912,459,0.0195,980330
run_e5ef8c56,unimodal,120.0,0.1,0.1,1.8,0.0,Duran,0.18502222222222225,2000,134,13.919970982284939,20.775549911165896,0.8721454807121338,1035,337,147,116,74,0.5175,980330
run_ff498489,unimodal,120.0,0.1,0.1,1.8,0.25,Hersen,0.18502222222222225,2000,295,54.69190920109719,38.066598107259345,0.35913415368520685,413,2277,856,937,484,0.2065,980330
run_0160e4fa,unimodal,120.0,0.1,0.1,1.8,0.25,Duran,0.18502222222222225,2000,112,17.332729640125788,23.923829689545265,0.8192612925191577,1179,332,141,103,88,0.5895,980330
run_c88599a9,unimodal,120.0,0.1,0.1,1.8,0.5,Hersen,0.18502222222222225,2000,298,52.00761409519953,36.59551785974053,0.352818525795252,4795,5074,3405,1190,479,2.3975,980330
run_9d93cd11,unimodal,120.0,0.1,0.1,1.8,0.5,Duran,0.18502222222222225,2000,94,17.61481770943666,24.91692160107583,0.8217175880650532,2122,777,524,183,70,1.061,980330
run_6fe630a8,unimodal,120.0,0.1,0.15,1.8,0.0,Hersen,0.18502222222222225,2000,416,45.27788611175609,36.26408979373044,0.45330844040175555,100,2432,656,915,861,0.05,980330
run_8012c8a2,unimodal,120.0,0.1,0.15,1.8,0.0,Duran,0.18502222222222225,2000,189,13.836825354127175,19.859311985950054,0.9014745182647536,1304,360,135,132,93,0.652,980330
run_c6a0ac6b,unimodal,120.0,0.1,0.15,1.8,0.25,Hersen,0.18502222222222225,2000,380,45.10987271760006,37.27915968104597,0.46196492610109474,349,2446,696,934,816,0.1745,980330
run_db52264e,unimodal,120.0,0.1,0.15,1.8,0.25,Duran,0.18502222222222225,2000,123,16.512663628417283,20.704015446513985,0.810992134604062,1434,394,165,146,83,0.717,980330
run_5f158086,unimodal,120.0,0.1,0.15,1.8,0.5,Hersen,0.18502222222222225,2000,409,40.207023712323185,34.5795644691237,0.4681610951209427,6411,7590,4314,2105,1171,3.2055,980330
